SSP2,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
KAZ,1710056,2064361,2306841,2553602,2806851,3120258,3557487,3838123,3921750,4026073,4377667,4883753,5439866,6022539,6506640,6943548
KEN,1653396,2047034,2559155,3164876,3884859,4781577,5845837,6899778,8077336,9595490,11445894,13102675,14607060,16178309,17799589,19396887
KIR,5604,7338,9308,10426,11683,13737,16309,18761,21170,22423,24514,27876,31251,33883,35802,36967
KWT,285646,463855,712848,1060577,1395022,1671879,1773582,1724934,1673077,1629712,1629803,1691440,1748405,1800481,1838427,1859579
KGZ,356166,475873,563255,651419,739306,865452,1070734,1276302,1419773,1518429,1663782,1903444,2158497,2378167,2564048,2737150
LAO,372323,459519,552581,652508,770776,925685,1119960,1318210,1503922,1656892,1793379,1914544,2044120,2153512,2244535,2316217
LVA,408109,416151,414931,418899,416497,420898,428987,426431,408378,397506,397498,400482,408770,412000,413568,415425
LBN,597093,739827,900881,1032767,1147670,1268450,1370400,1469075,1610402,1775714,1958436,2154995,2269685,2323506,2362263,2383643
LSO,100817,110314,116524,122644,137474,162518,195746,225730,250020,269422,287162,311192,339749,366820,389511,411032
LBR,185958,212771,254668,312467,389074,470103,546435,629445,749319,917215,1128897,1346974,1548928,1746922,1947433,2146328
LBY,373062,494144,675677,916091,1178451,1401018,1565266,1702823,1864981,2063042,2299735,2538340,2743502,2930110,3098235,3252662
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,587733,622067,636327,644276,635743,624749,623161,619212,598667,572242,555932,554254,558233,553157,553120,556522
LUX,107889,130770,155957,178655,200361,222451,243072,260876,270928,276351,282269,289649,295937,299389,302263,304806
MDG,1108097,1379545,1701139,2115299,2570268,3057417,3671306,4509894,5564025,6723356,8076798,9499444,11033159,12623930,14238539,15813710
MWI,538945,606666,708891,868757,1157283,1553923,1939195,2344441,2840749,3491029,4294156,5092166,5844888,6671272,7549695,8481242
MYS,2881495,3602145,4387187,5200013,6133008,7385064,8781636,10075869,11138898,12015146,12676022,13231196,13721908,13919514,14076798,14214516
MDV,30359,42980,59001,79489,106376,146609,197780,239638,262900,271896,279960,288424,292828,291451,286543,282990
MLI,561766,639150,762769,961722,1243032,1582707,1934480,2302421,2750949,3393366,4225488,5205194,6305064,7471171,8716774,10006125
MLT,109617,121299,128184,136975,149735,165779,185445,203845,209892,206423,201849,197098,191846,184391,177699,172193
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,89417,102411,112152,116218,112622,105705,98154,92453,91498,93117,95576,97913,100261,102093,104642,107451
MRT,163307,196005,237079,287305,346486,421202,514964,628266,765408,934965,1150125,1384240,1608895,1825629,2041134,2254265
MUS,184310,223588,253281,271236,295842,313897,324570,344171,357671,370868,375888,372427,365518,359328,354553,350561
MYT,11272,15779,21851,29890,39169,49445,61147,73979,83426,98809,121259,146503,177957,214163,255848,304164
MEX,11512779,13972085,16945755,20269659,23700025,27062653,30420654,33847393,37159684,40379223,43359688,46135349,48218691,50086106,51746055,53159494
FSM,54586,66479,77166,84244,88941,94354,101650,112146,124022,133504,144063,156140,166656,175209,183038,189888
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,182625,251046,317009,386392,456576,529199,623889,683789,706658,714026,759682,878656,1007825,1102923,1184767,1266019
MNE,111028,121279,128744,135871,144606,155154,163398,170103,175827,180465,184805,189704,194580,198844,201496,203404
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,3232137,3949986,4660471,5414320,6249084,7171179,8085142,8914738,9585713,10207338,10898897,11740560,12485552,13081702,13541096,13886094
MOZ,914630,1072609,1270481,1560977,1883333,2249864,2734755,3324401,4037523,4876476,5828524,6969344,8188106,9371997,10543363,11708691
MMR,4052670,4811296,5619243,6401616,7157458,7964041,8661017,9323560,9908696,10507182,10978530,11386146,11873114,12233764,12476082,12550183
NAM,106695,128046,153190,179179,207036,236707,280736,344417,395584,438883,487901,557425,635688,710201,774025,829830
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,1949692,2177725,2448326,2789241,3226815,3771937,4438025,5378318,6530990,7678908,8538832,9205597,9762917,10279231,10636207,10855374
NLD,3797842,4280623,4716214,4997466,5089728,5189828,5334459,5514227,5682549,5875548,6052617,6226088,6349896,6433472,6523534,6613352
NCL,35681,43677,52685,62117,69472,76806,83603,88441,91574,96364,100790,106033,110334,113278,115496,117356
NZL,918534,1074496,1206677,1326259,1405613,1494443,1605653,1725923,1812214,1884652,1967655,2052552,2117123,2150528,2177042,2202236
NIC,407374,502041,622133,774883,952962,1152462,1377123,1622613,1848324,2036295,2199065,2354676,2497752,2617057,2712636,2791011
NER,698878,854768,1030977,1223518,1468329,1780436,2139898,2604143,3247042,4084981,5140159,6411208,7970912,9829600,11995800,14450570
NGA,6979774,8088929,9409158,11170618,13570118,16304235,19048414,22248399,26257411,31660316,38464459,46354908,55058698,64334663,74953048,87146480
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,327899,375172,414679,448015,484595,526522,564117,593651,611420,619090,616102,618307,618025,619896,624228,629324
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,1069248,1202429,1354989,1492736,1590949,1693589,1811894,1925435,2011091,2082867,2169085,2251363,2305529,2323520,2348956,2382255
OMN,163575,239725,349100,515724,770178,1134969,1576061,1906781,1970088,1920519,1883827,1906900,1976913,2055477,2133492,2207550
PAK,11101204,13307651,15397296,17532467,20121938,23875854,28930497,35114490,42213781,50257412,58422928,67053269,74841381,83402952,92727115,102520560
PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAN,429441,533285,652690,777328,898002,1022967,1148019,1264380,1375195,1483270,1594673,1715444,1828294,1928802,2011241,2079710
PNG,371645,490974,627669,780055,951357,1145664,1376505,1627654,1891436,2178018,2485580,2813030,3141923,3426587,3673583,3883358
PRY,464739,574075,697286,817480,951075,1131659,1348335,1573389,1780244,1947204,2093770,2235896,2394296,2541028,2672093,2778511
PER,3091331,3647431,4304051,5092551,5911667,6768196,7684930,8547602,9289184,9946384,10672101,11270012,11743389,12145181,12431882,12613847
PHL,7076343,8862041,10898201,13106336,15533253,18125694,21029835,24426112,27938028,31408049,34944555,38215400,41214430,43927373,46446702,48709772
POL,7915708,8466997,8749578,9206700,9932269,10764850,11335450,11583317,11422869,11053762,10853511,10639897,10491427,10302736,10162941,10084284
