SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
HND,7197296,7842306,8425690,8967157,9427618,9811093,10109169,10271318,10366411,10453740,10592397,10767239,10933865,11050440,11142812,11237568
HUN,6188235,6042141,5856170,5576895,5178461,4905077,4632201,4341551,4117147,3916516,3679020,3443285,3172588,2919689,2704404,2507671
ISL,247129,248405,248341,247397,244792,239146,231322,220748,214134,209150,201639,193299,185626,177736,169886,162228
IND,989068461,1038667289,1074848190,1101218550,1123133970,1136857475,1142194605,1137742593,1126839430,1116455872,1113453676,1114324003,1119951405,1125012097,1126857173,1129054016
IDN,191689489,199585757,204331880,207618531,209850915,211215092,212792308,213469498,213006994,212770744,211841214,210430137,209956449,209422270,208693507,207920715
IRN,62503494,65698633,68492085,68788115,67551176,64099400,59950421,56970545,55441563,53708969,50841640,46704051,42166398,39087977,36287403,33751867
IRQ,28218028,32577713,36488429,40503491,44725941,49203411,53921674,58289939,62360542,66283183,69914467,72707018,75458522,77936150,80177850,82070647
IRL,3362012,3450522,3491255,3448291,3368472,3292021,3272962,3285459,3272200,3210387,3096127,2959655,2839177,2751890,2662557,2555936
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,5604439,6073810,6585793,6927683,7182414,7385809,7568622,7769964,7940342,8047526,8071054,7983628,7821855,7718662,7630986,7534651
ITA,37196118,35576340,33429234,31140080,29340785,28055938,26956815,25968044,25036679,23920013,22597868,21263459,20115258,19193651,18237397,17204200
JAM,2060423,2057684,2022614,1983495,1940011,1872706,1791357,1700531,1622334,1573041,1534195,1511727,1500988,1490312,1476966,1462815
JPN,71302755,68676420,64926709,59636702,55236155,51775666,48649840,45757303,42642963,39475595,36366643,33286859,30589670,28203125,25881273,23703647
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,7767757,8657362,9378355,10050578,10714188,11360807,11964537,12468366,12883750,13232541,13432014,13594652,13815176,14012587,14125105,14148735
KAZ,12233950,12757465,13394310,14107675,14691000,15217637,15700941,16346922,17197716,17991793,18477884,18765335,19029752,19264727,19570264,19850485
KEN,34311965,38393214,42118807,46049477,50233725,54508675,58727406,62699462,66453427,69698043,72612307,75204428,77445864,79201736,80572347,81643071
KIR,82804,91152,98978,107082,114505,120296,125320,130377,135159,140356,143679,144892,145946,147388,149073,150966
KWT,3552210,3709377,3718703,3584613,3418143,3281575,3302576,3446747,3558575,3633603,3661201,3643705,3656490,3673849,3682127,3666194
KGZ,4197950,4585251,5011063,5399659,5749035,6064973,6338838,6617907,6938876,7271631,7531864,7672944,7800699,7951317,8116736,8266353
LAO,5092050,5467923,5826797,6157906,6446684,6674955,6840261,6942980,7022184,7125248,7251124,7386718,7512303,7632659,7753384,7878324
LVA,1141662,1061761,1008520,942423,879318,811500,745155,697549,672475,643410,605112,564891,521910,488692,460255,431962
LBN,3847310,4122668,4274184,4406865,4566775,4721890,4887748,5029354,5102108,5131881,5147504,5148399,5222313,5309111,5362478,5390087
LSO,1441370,1502541,1573456,1650013,1714285,1770462,1819207,1860950,1901943,1937283,1963709,1971727,1972068,1968434,1964305,1956440
LBR,3252114,3752854,4223490,4706724,5210662,5750671,6322919,6875193,7373622,7822721,8212786,8574849,8891027,9133461,9295725,9402003
LBY,4765742,5122167,5356726,5526248,5677737,5879086,6157899,6430435,6619468,6728853,6797914,6888545,7036357,7186476,7302883,7369862
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,1716275,1576746,1472504,1358717,1265011,1173103,1072239,984326,926162,882094,832387,772203,710818,666648,625988,588708
LUX,445022,445557,443237,439273,432820,421878,409101,398227,393655,389928,381818,368544,352942,337967,321986,304858
MDG,18306732,20891178,23616737,26583641,29870336,33367934,36961395,40466832,43901700,47315019,50652461,53794045,56596864,58948123,60924834,62722711
MWI,12145552,14133956,16077255,18245677,20554505,23061080,25768660,28500596,31205188,33882640,36540382,39087335,41517170,43537001,45170673,46388149
MYS,24334487,25475986,26483045,27187466,27722146,27890860,27847800,27771800,27761646,27790682,27891151,27967756,28007069,28145507,28167191,28085182
MDV,403967,431344,454637,470827,475929,464501,441799,427834,428748,437832,440804,436770,432353,429052,427491,425302
MLI,12512609,14978694,17710318,20819581,24386709,28328833,32591975,36938171,41310558,45669189,49947449,54077544,57993589,61461048,64489300,66860881
MLT,339217,333446,332297,324507,309977,289002,262413,237283,224422,218806,210942,199492,185535,173306,161564,150872
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,220737,205602,191371,180632,177592,177371,176527,173291,165815,157142,149538,143877,139002,134526,128784,122380
MRT,2832209,3301736,3768529,4273681,4828953,5423225,6042366,6652096,7243559,7814936,8359409,8883447,9403895,9851890,10206910,10516422
MUS,909783,877388,844538,822164,792839,768670,749709,719152,693491,669431,656027,652601,652961,649569,642188,633456
MYT,189996,225075,266087,313939,371038,439741,522088,617536,735061,869642,1024736,1207555,1419579,1664757,1947352,2272126
MEX,87750909,91480228,93660210,95558991,97381609,99097829,100505261,101163704,101652866,102263889,103204658,104295073,105987070,107315284,108318765,109250887
FSM,416359,434036,447523,463670,482941,500465,513905,520862,524725,529739,534161,537659,543240,549146,553586,558077
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,2203886,2385019,2566390,2705973,2837236,2983212,3137146,3342424,3602525,3877971,4105065,4257383,4395468,4547509,4696018,4827523
MNE,420641,410286,403213,394633,380800,362930,346131,330949,316452,302125,286708,269592,252018,235917,221971,208869
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,25248179,26542507,27591396,28467312,29150893,29689267,30144033,30469234,30839776,31239090,31585395,31801570,32111810,32424161,32715086,32992250
MOZ,19121970,22221143,25548113,29113442,33009473,37247273,41707034,46166944,50562032,54906445,59142189,62962514,66459506,69258288,71415172,72986539
