Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GUM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTM,0.472041018,0.462442036,0.452843054,0.443244072,0.43479517,0.426346268,0.418719522,0.411092775,0.404208547,0.397324318,0.391107707,0.384891095,0.379273088,0.373655081,0.36857297,0.363490858
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,0.622601029,0.613952059,0.605303088,0.596654117,0.587981537,0.579308957,0.570470301,0.561631644,0.552645241,0.543658837,0.534544942,0.525431046,0.51621173,0.506992413,0.497691413,0.488390413
GNB,0.580675465,0.603310931,0.625946396,0.648581861,0.639563071,0.63054428,0.621330474,0.612116667,0.602730402,0.593344136,0.583809969,0.574275802,0.564620074,0.554964345,0.545214912,0.535465479
GUY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HTI,0.417801261,0.406482522,0.395163782,0.383845043,0.374843336,0.365841629,0.358909272,0.351976915,0.34660131,0.341225704,0.337031196,0.332836687,0.32954605,0.326255412,0.323662065,0.321068718
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,0.420577936,0.424745872,0.428913808,0.433081744,0.425851606,0.418621468,0.411946631,0.405271794,0.399110336,0.392948878,0.387260333,0.381571787,0.376317762,0.371063737,0.366208262,0.361352787
HUN,0.283728732,0.286877463,0.290026195,0.293174926,0.291706354,0.290237781,0.28933084,0.288423899,0.287861488,0.287299077,0.286949415,0.286599752,0.286382009,0.286164265,0.286028534,0.285892803
ISL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,0.650182834,0.649625668,0.649068502,0.648511336,0.639492484,0.630473632,0.621259769,0.612045905,0.60265958,0.593273255,0.583739022,0.574204789,0.564548984,0.554893178,0.545143654,0.53539413
IDN,0.455252584,0.476915167,0.498577751,0.520240334,0.51337701,0.506513686,0.499278944,0.492044201,0.484430647,0.476817092,0.468821168,0.460825243,0.452448241,0.444071238,0.435320401,0.426569564
IRN,0.247065483,0.252870967,0.25867645,0.264481933,0.261298781,0.258115629,0.255446886,0.252778142,0.250531066,0.24828399,0.246384906,0.244485821,0.242875656,0.241265491,0.239896479,0.238527466
IRQ,0.292550506,0.294031011,0.295511517,0.296992022,0.294154399,0.291316775,0.289402409,0.287488042,0.286187975,0.284887907,0.284000961,0.283114014,0.282506989,0.281899963,0.281483604,0.281067245
IRL,0.35503609,0.346602181,0.338168271,0.329734361,0.325491466,0.32124857,0.318142764,0.315036958,0.312748931,0.310460904,0.308767011,0.307073118,0.305814354,0.304555589,0.303617499,0.302679408
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,0.073564337,0.072998675,0.072433012,0.071867349,0.070386463,0.068905576,0.067481376,0.066057175,0.064687845,0.063318514,0.062002265,0.060686016,0.059421094,0.058156171,0.056940852,0.055725532
ITA,0.289143665,0.28867733,0.288210994,0.287744659,0.285883953,0.284023247,0.282803968,0.281584688,0.280781799,0.27997891,0.279448483,0.278918055,0.278566866,0.278215677,0.277982823,0.277749969
JAM,0.434412237,0.431934474,0.42945671,0.426978947,0.419219086,0.411459225,0.40419191,0.396924594,0.390122047,0.383319499,0.376953373,0.370587247,0.364629376,0.358671504,0.353094433,0.347517361
JPN,0.137198598,0.192217196,0.247235793,0.302254391,0.300683916,0.299113441,0.298167348,0.297221255,0.296648847,0.296076439,0.295729207,0.295381974,0.295170999,0.294960023,0.294831711,0.294703398
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,0.102280353,0.118740707,0.13520106,0.151661413,0.13984631,0.128031207,0.116421904,0.1048126,0.093997349,0.083182097,0.073636321,0.064090544,0.056087626,0.048084707,0.041677263,0.035269819
KAZ,0.402866893,0.382443787,0.36202068,0.341597573,0.333953488,0.326309403,0.320139444,0.313969484,0.308956028,0.303942571,0.299844179,0.295745786,0.292377504,0.289009221,0.28622806,0.283446898
KEN,0.717753321,0.715456643,0.713159964,0.710863285,0.699794445,0.688725604,0.677923732,0.66712186,0.65667441,0.64622696,0.636201549,0.626176137,0.616621192,0.607066246,0.598012742,0.588959237
KIR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KWT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,0.625089447,0.618738895,0.612388342,0.606037789,0.597377873,0.588717956,0.579777725,0.570837494,0.561627866,0.552418238,0.54295374,0.533489242,0.523788279,0.514087315,0.504172378,0.49425744
LAO,0.631096066,0.625092133,0.619088199,0.613084265,0.60440387,0.595723474,0.587341632,0.578959789,0.570894903,0.562830017,0.555094052,0.547358087,0.539957387,0.532556686,0.525492816,0.518428946
LVA,0.312464693,0.308079387,0.30369408,0.299308773,0.298217369,0.297125964,0.296507493,0.295889022,0.295537387,0.295185752,0.294985449,0.294785146,0.294670924,0.294556701,0.294491525,0.294426349
LBN,0.104668693,0.098587385,0.092506078,0.08642477,0.082764224,0.079103678,0.07622825,0.073352822,0.071043088,0.068733354,0.066844115,0.064954876,0.06338635,0.061817823,0.060499239,0.059180654
LSO,0.697213059,0.684706117,0.672199176,0.659692234,0.647494529,0.635296824,0.623100316,0.610903807,0.598788681,0.586673555,0.574712658,0.56275176,0.551009205,0.539266649,0.527797025,0.516327401
LBR,0.477277913,0.475445826,0.473613739,0.471781652,0.463938048,0.456094444,0.448512379,0.440930314,0.433612155,0.426293995,0.419239798,0.4121856,0.405393466,0.398601331,0.392067726,0.385534121
LBY,0.183772533,0.174455066,0.165137598,0.155820131,0.143506253,0.131192374,0.119082409,0.106972444,0.095705555,0.084438665,0.074530439,0.064622213,0.056363683,0.048105153,0.041543174,0.034981195
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,0.315151331,0.310762662,0.306373992,0.301985323,0.300455341,0.298925358,0.297997656,0.297069954,0.296505099,0.295940243,0.295595435,0.295250626,0.295039812,0.294828997,0.294699982,0.294570966
LUX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MDG,0.621396678,0.628133356,0.634870034,0.641606712,0.631683877,0.621761042,0.61163053,0.601500017,0.591193174,0.58088633,0.570436899,0.559987468,0.549431174,0.538874879,0.528248956,0.517623033
MWI,0.8045667,0.7834034,0.7622401,0.7410768,0.731190177,0.721303553,0.711764138,0.702224722,0.693112714,0.684000705,0.675373617,0.666746528,0.658640874,0.650535219,0.642969245,0.63540327
MYS,0.230732314,0.233064627,0.235396941,0.237729254,0.233157798,0.228586342,0.224750973,0.220915604,0.217675983,0.214436361,0.21168366,0.208930958,0.206579785,0.204228612,0.202211211,0.200193809
MDV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MLI,0.56919814,0.577486281,0.585774421,0.594062561,0.586241937,0.578421312,0.57066991,0.562918507,0.555253462,0.547588416,0.540025249,0.532462081,0.525014648,0.517567215,0.5102477,0.502928184
MLT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MRT,0.47853445,0.510338901,0.542143351,0.573947801,0.57078439,0.567620979,0.563542661,0.559464343,0.554198847,0.548933351,0.542126295,0.535319238,0.526513195,0.517707151,0.506323484,0.494939816
MUS,0.588139981,0.583879962,0.579619942,0.575359923,0.573799623,0.572239323,0.570317143,0.568394963,0.56602519,0.563655417,0.560731408,0.557807398,0.554196396,0.550585393,0.546122245,0.541659096
MYT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEX,0.18630113,0.17991226,0.17352339,0.16713452,0.155395231,0.143655941,0.131332851,0.119009761,0.106874512,0.094739262,0.083590262,0.072441261,0.062890211,0.053339161,0.045672668,0.038006175
FSM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,0.317293305,0.32115661,0.325019915,0.32888322,0.324640851,0.320398481,0.317292927,0.314187373,0.311899348,0.309611322,0.307917246,0.30622317,0.304964106,0.303705042,0.302766592,0.301828142
MNE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,0.360292405,0.35590481,0.351517214,0.347129619,0.339129677,0.331129735,0.324434839,0.317739943,0.312108275,0.306476607,0.301715865,0.296955122,0.292912051,0.28886898,0.285420888,0.281972795
MOZ,0.604673314,0.580086628,0.555499941,0.530913255,0.521061802,0.511210348,0.503034856,0.494859363,0.488091698,0.481324033,0.475727916,0.470131799,0.465505529,0.460879258,0.457053758,0.453228257
MMR,0.669703125,0.65081625,0.631929374,0.613042499,0.604409816,0.595777132,0.587071665,0.578366197,0.569610474,0.560854751,0.552071471,0.543288191,0.534499975,0.525711759,0.516940916,0.508170073
NAM,0.5016925,0.523714999,0.545737499,0.567759998,0.560195415,0.552630831,0.545631689,0.538632547,0.532172849,0.525713151,0.519762992,0.513812832,0.508340216,0.5028676,0.497839814,0.492812028
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,0.78155074,0.768861481,0.756172221,0.743482961,0.733218102,0.722953243,0.713665147,0.704377051,0.696101459,0.687825867,0.680544078,0.673262288,0.666918888,0.660575487,0.655093456,0.649611425
NLD,0.083181176,0.088722353,0.094263529,0.099804705,0.090702347,0.081599988,0.073870276,0.066140564,0.059676201,0.053211837,0.047876603,0.042541368,0.038186998,0.033832628,0.030311756,0.026790884
NCL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NZL,0.121838761,0.110667523,0.099496284,0.088325045,0.083516758,0.078708471,0.074826372,0.070944272,0.067748102,0.064551931,0.061877017,0.059202102,0.056932061,0.054662019,0.052712407,0.050762794
NIC,0.400894171,0.391908342,0.382922513,0.373936684,0.367312634,0.360688583,0.354907204,0.349125825,0.344067719,0.339009612,0.334573355,0.330137097,0.326236739,0.322336381,0.318899106,0.31546183
NER,0.817898057,0.802056114,0.78621417,0.770372227,0.762229751,0.754087275,0.746897923,0.739708571,0.733459826,0.727211081,0.721848924,0.716486767,0.711932638,0.707378508,0.703542526,0.699706543
