"Land Use, Cropland (1,000ha)",2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
SRB,5032.3,5032.216667,5032.133333,5032.05,5031.966667,5031.883333,5031.8,5031.716667,5031.633333,5031.55,5031.466667,5031.383333,5031.3,5031.3,5031.3,5031.3
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7,3948.7
SGP,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
SXM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVK,2731.3,2731.316667,2731.333333,2731.35,2731.366667,2731.383333,2731.4,2731.4,2731.4,2731.4,2731.4,2731.4,2731.4,2731.4,2731.4,2731.4
SVN,639.7,639.8,639.9,640,640.1,640.2,640.3,640.7833333,641.2666667,641.75,642.2333333,642.7166667,643.2,643.2,643.2,643.2
SLB,298.4,298.4333333,298.4666667,298.5,298.5333333,298.5666667,298.6,298.6333333,298.6666667,298.7,298.7333333,298.7666667,298.8,298.8,298.8,298.8
SOM,30578.9,31021.33333,31463.76667,31906.2,32348.63333,32791.06667,33233.5,34751.63333,36269.76667,37787.9,39306.03333,40824.16667,42342.3,42342.3,42342.3,42342.3
ZAF,80782.3,80460.15,80138,79815.85,79493.7,79171.55,78849.4,78443.36667,78037.33333,77631.3,77225.26667,76819.23333,76413.2,76413.2,76413.2,76413.2
SSD,45964.9,45964.95,45965,45965.05,45965.1,45965.15,45965.2,45966.15,45967.1,45968.05,45969,45969.95,45970.9,45970.9,45970.9,45970.9
ESP,27906.7,27871.48333,27836.26667,27801.05,27765.83333,27730.61667,27695.4,27191.75,26688.1,26184.45,25680.8,25177.15,24673.5,24673.5,24673.5,24673.5
LKA,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5,3560.5
PSE,498.1,493.35,488.6,483.85,479.1,474.35,469.6,467.3,465,462.7,460.4,458.1,455.8,455.8,455.8,455.8
SDN,85246.6,85514.88333,85783.16667,86051.45,86319.73333,86588.01667,86856.3,88532.93333,90209.56667,91886.2,93562.83333,95239.46667,96916.1,96916.1,96916.1,96916.1
SUR,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2,46.2
SWE,6392.3,6511.766667,6631.233333,6750.7,6870.166667,6989.633333,7109.1,7112.466667,7115.833333,7119.2,7122.566667,7125.933333,7129.3,7129.3,7129.3,7129.3
CHE,1107.1,1108.2,1109.3,1110.4,1111.5,1112.6,1113.7,1114.533333,1115.366667,1116.2,1117.033333,1117.866667,1118.7,1118.7,1118.7,1118.7
SYR,7909.8,7725.466667,7541.133333,7356.8,7172.466667,6988.133333,6803.8,6566.983333,6330.166667,6093.35,5856.533333,5619.716667,5382.9,5382.9,5382.9,5382.9
TJK,3927.7,3946.866667,3966.033333,3985.2,4004.366667,4023.533333,4042.7,4051.016667,4059.333333,4067.65,4075.966667,4084.283333,4092.6,4092.6,4092.6,4092.6
THA,32069.2,32069.36667,32069.53333,32069.7,32069.86667,32070.03333,32070.2,32070.21667,32070.23333,32070.25,32070.26667,32070.28333,32070.3,32070.3,32070.3,32070.3
TLS,731.6,731.55,731.5,731.45,731.4,731.35,731.3,731.35,731.4,731.45,731.5,731.55,731.6,731.6,731.6,731.6
TGO,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9,5163.9
TKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TON,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8
TTO,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2,211.2
TUN,3150.7,3161.05,3171.4,3181.75,3192.1,3202.45,3212.8,3161.166667,3109.533333,3057.9,3006.266667,2954.633333,2903,2903,2903,2903
TUR,53811.6,53589.61667,53367.63333,53145.65,52923.66667,52701.68333,52479.7,52073.56667,51667.43333,51261.3,50855.16667,50449.03333,50042.9,50042.9,50042.9,50042.9
TKM,7452.1,7521.4,7590.7,7660,7729.3,7798.6,7867.9,7776.1,7684.3,7592.5,7500.7,7408.9,7317.1,7317.1,7317.1,7317.1
TCA,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
TUV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UGA,16822.4,16822.91667,16823.43333,16823.95,16824.46667,16824.98333,16825.5,16825.93333,16826.36667,16826.8,16827.23333,16827.66667,16828.1,16828.1,16828.1,16828.1
UKR,47498.1,47498.1,47498.1,47498.1,47498.1,47498.1,47498.1,47498.08333,47498.06667,47498.05,47498.03333,47498.01667,47498,47498,47498,47498
ARE,132.5,143.0333333,153.5666667,164.1,174.6333333,185.1666667,195.7,178.15,160.6,143.05,125.5,107.95,90.4,90.4,90.4,90.4
GBR,17790.7,17790.21667,17789.73333,17789.25,17788.76667,17788.28333,17787.8,17788.38333,17788.96667,17789.55,17790.13333,17790.71667,17791.3,17791.3,17791.3,17791.3
TZA,32336.9,32337.36667,32337.83333,32338.3,32338.76667,32339.23333,32339.7,32340.35,32341,32341.65,32342.3,32342.95,32343.6,32343.6,32343.6,32343.6
USA,406414.3,408438.5333,410462.7667,412487,414511.2333,416535.4667,418559.7,421939.7333,425319.7667,428699.8,432079.8333,435459.8667,438839.9,438839.9,438839.9,438839.9
VIR,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
URY,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3,15239.3
UZB,10040.2,9994.583333,9948.966667,9903.35,9857.733333,9812.116667,9766.5,9715.9,9665.3,9614.7,9564.1,9513.5,9462.9,9462.9,9462.9,9462.9
VUT,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3,598.3
VEN,35438.3,35433.3,35428.3,35423.3,35418.3,35413.3,35408.3,35382.76667,35357.23333,35331.7,35306.16667,35280.63333,35255.1,35255.1,35255.1,35255.1
VNM,16558.1,16558.21667,16558.33333,16558.45,16558.56667,16558.68333,16558.8,16558.85,16558.9,16558.95,16559,16559.05,16559.1,16559.1,16559.1,16559.1
WLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YEM,4867.1,4885.483333,4903.866667,4922.25,4940.633333,4959.016667,4977.4,5399.733333,5822.066667,6244.4,6666.733333,7089.066667,7511.4,7511.4,7511.4,7511.4
ZMB,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6,19752.6
ZWE,23814.5,23814.45,23814.4,23814.35,23814.3,23814.25,23814.2,23814.2,23814.2,23814.2,23814.2,23814.2,23814.2,23814.2,23814.2,23814.2
